UniqueCarrier,FlightNum,Origin,Dest,Distance,DayOfWeek,DayofMonth,Month,Year,CRSElapsedTime,ActualElapsedTime,ArrDelay,DepDelay,TaxiIn,TaxiOut,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
XE,60,TUS,OMA,1046,4,27,12,2007,161,145,40,56,4,15,2,0,0,0,38
HA,541,HNL,LIH,102,4,26,2,2004,37,35,43,45,4,9,6,0,0,0,37
AA,1282,TPA,LGA,1011,5,29,12,2006,160,141,111,130,3,9,0,0,111,0,0
MQ,3602,MKE,DFW,853,5,7,4,2006,149,290,145,4,16,133,0,0,145,0,0
AA,1377,ORD,MSP,334,5,11,11,2005,74,66,23,31,3,11,23,0,0,0,0
AA,1803,DFW,LAS,1055,7,24,2,2008,180,206,24,-2,26,17,0,0,24,0,0
NW,150,MSP,ORD,334,6,22,5,2004,69,110,37,-4,6,17,0,0,37,0,0
CO,215,ELP,IAH,667,2,9,8,2005,121,120,37,38,5,11,37,0,0,0,0
XE,2938,AMA,IAH,519,7,5,3,2006,100,95,48,53,13,9,0,0,0,0,48
UA,622,ORD,DCA,612,2,10,7,2007,114,224,155,45,6,123,0,45,110,0,0
AA,1079,DFW,SAT,247,1,8,8,2005,63,58,47,52,2,16,6,0,0,0,41
9E,5900,ICT,MEM,453,2,8,4,2008,90,108,32,14,4,14,14,0,18,0,0
NW,177,MEM,LAX,1619,5,2,7,2004,224,248,17,-7,15,18,0,0,17,0,0
DH,1298,IAD,BUF,284,1,21,2,2005,75,68,22,29,2,17,22,0,0,0,0
UA,67,LAX,LIH,2615,2,14,2,2006,370,366,21,25,5,16,0,0,0,0,21
NW,841,MSP,ANC,2518,5,17,6,2005,345,389,40,-4,5,74,0,0,40,0,0
OO,6890,MBS,ORD,222,3,9,3,2005,75,80,35,30,5,34,0,0,35,0,0
MQ,4400,DAL,ORD,798,2,11,11,2008,140,121,154,173,6,11,154,0,0,0,0
B6,76,JFK,SYR,209,7,14,12,2008,88,117,35,6,3,69,6,0,29,0,0
MQ,3107,LAX,SAN,109,1,12,7,2004,62,56,20,26,3,14,6,0,0,0,14
NW,481,DTW,ORD,235,2,24,1,2006,70,93,23,0,7,43,0,0,23,0,0
MQ,4466,BOS,DCA,399,3,13,10,2004,100,103,20,17,14,17,17,0,3,0,0
WN,242,SAT,MDW,1036,2,17,6,2008,160,151,21,30,5,6,3,0,0,0,18
YV,1040,HNL,ITO,216,4,9,10,2008,49,48,30,31,3,10,30,0,0,0,0
WN,2296,DAL,IAH,217,5,30,4,2004,55,77,35,13,15,24,8,0,22,0,5
OO,3772,SLC,IDA,188,5,29,12,2006,62,57,98,103,4,23,0,0,0,0,98
AA,1305,MIA,SJU,1045,3,27,12,2006,150,171,39,18,7,29,18,0,21,0,0
EV,4391,ATL,CLE,554,2,17,7,2007,104,136,44,12,6,37,12,0,32,0,0
OH,5375,ATL,CAK,528,7,14,11,2004,105,105,121,121,4,20,121,0,0,0,0
OO,6543,LAX,SBA,89,4,1,9,2005,31,49,15,-3,4,21,15,0,0,0,0
F9,425,ATL,DEN,1199,4,28,7,2005,195,197,50,48,6,23,4,0,2,0,44
CO,62,IAH,EWR,1400,5,21,7,2006,238,209,206,235,14,14,0,0,206,0,0
YV,7152,CLT,IAD,321,5,10,11,2006,88,83,20,25,9,19,20,0,0,0,0
WN,975,BWI,SLC,1864,1,2,6,2008,285,301,15,-1,3,9,0,0,15,0,0
AA,2450,DFW,SDF,733,5,3,6,2005,119,112,20,27,4,10,20,0,0,0,0
AS,65,PSG,JNU,123,1,31,7,2006,38,54,66,50,4,10,0,0,16,2,48
NW,1515,DTW,STL,440,5,18,6,2004,100,114,19,5,8,23,0,0,19,0,0
HP,551,PHX,DFW,868,6,3,9,2005,140,137,21,24,8,18,21,0,0,0,0
CO,1430,DTW,EWR,487,5,28,4,2006,120,101,73,92,11,12,0,0,17,0,56
DL,347,BDL,ATL,859,4,6,1,2005,165,190,48,23,16,36,0,0,45,0,3
WN,1585,MDW,LAS,1521,2,25,5,2004,235,263,49,21,3,20,0,0,28,0,21
OO,2670,BNA,MKE,475,3,19,3,2008,95,88,18,25,4,10,18,0,0,0,0
EV,4489,DFW,SNA,1205,6,21,8,2004,197,175,61,83,10,15,0,0,0,0,61
FL,661,ATL,HPN,780,1,1,12,2008,137,121,21,37,12,13,0,0,0,0,21
DL,977,CVG,PDX,1975,5,23,6,2006,276,292,15,-1,3,18,0,0,15,0,0
NW,1108,DTW,RSW,1085,1,22,12,2008,174,169,22,27,5,21,22,0,0,0,0
UA,589,RIC,ORD,642,4,13,4,2006,132,121,126,137,3,9,126,0,0,0,0
NW,347,DTW,SFO,2079,7,28,10,2007,299,301,25,23,4,18,0,0,25,0,0
YV,7321,BUF,IAD,284,7,19,2,2006,75,62,15,28,4,15,0,0,0,0,15
AA,1329,LGA,MCO,950,3,20,2,2008,170,199,29,0,7,39,0,0,29,0,0
US,139,LAS,SNA,226,6,30,6,2007,60,66,68,62,10,18,11,0,6,0,51
MQ,3451,DFW,CMI,693,3,17,10,2007,120,108,31,43,3,16,31,0,0,0,0
DL,1106,MLB,ATL,443,7,1,10,2006,97,124,23,-4,16,26,0,0,23,0,0
CO,1138,DFW,EWR,1372,2,3,7,2007,240,314,116,42,6,120,0,0,74,0,42
EV,4824,ATL,ICT,781,4,30,8,2007,143,139,127,131,4,24,127,0,0,0,0
UA,19,JFK,SFO,2586,5,10,8,2007,407,382,129,154,5,50,0,0,0,0,129
CO,1620,IAH,ATL,689,1,28,6,2004,140,145,143,138,7,27,0,7,5,0,131
XE,2982,EWR,CHS,628,6,22,4,2006,130,149,39,20,5,48,20,0,19,0,0
OO,6418,SFO,SLC,599,2,22,1,2008,104,99,89,94,7,18,89,0,0,0,0
WN,1393,BWI,MCO,787,6,12,11,2005,135,118,28,45,7,10,4,0,0,0,24
MQ,4857,BNA,LGA,764,3,23,3,2005,122,134,130,118,6,27,0,0,81,0,49
AA,1605,MCI,ORD,403,3,28,9,2005,86,116,81,51,8,38,0,0,65,0,16
XE,3045,EWR,SAV,708,7,17,7,2005,140,137,149,152,9,30,0,0,22,0,127
UA,671,ORD,OAK,1835,4,15,3,2007,273,287,29,15,6,19,0,0,14,0,15
AA,2296,DFW,TUL,237,6,4,8,2007,65,73,16,8,4,30,8,0,8,0,0
XE,2550,PIT,EWR,319,5,1,10,2004,100,90,136,146,8,25,0,0,14,0,122
DH,1265,IAD,PWM,494,5,22,4,2005,100,87,19,32,3,14,19,0,0,0,0
WN,797,SJC,ONT,333,7,24,6,2007,70,68,58,60,3,11,58,0,0,0,0
AA,1309,ORF,DFW,1213,3,5,3,2008,210,235,16,-9,11,23,0,0,16,0,0
EV,4174,CHS,ATL,259,2,7,8,2007,72,87,15,0,17,12,0,0,15,0,0
US,517,BDL,CLT,644,4,9,3,2006,123,134,24,13,4,23,13,0,11,0,0
OH,5680,JFK,SYR,209,2,24,7,2007,78,100,91,69,7,49,0,69,22,0,0
WN,1942,STL,SLC,1156,3,14,2,2007,200,178,64,86,5,7,7,0,0,0,57
OO,5531,LAX,PSP,110,3,4,6,2008,48,44,34,38,4,10,34,0,0,0,0
UA,1035,ATL,ORD,606,6,28,6,2003,126,195,185,116,5,64,0,0,183,0,2
OO,6475,SLC,SFO,599,1,7,11,2005,116,126,75,65,3,19,75,0,0,0,0
AA,1920,LAX,SFO,337,4,21,12,2006,85,86,16,15,5,15,0,0,16,0,0
DL,1581,JFK,SLC,1989,5,7,12,2007,351,380,28,-1,11,49,0,0,28,0,0
OH,5278,CLE,ATL,554,2,30,11,2004,122,110,93,105,10,10,93,0,0,0,0
AA,1018,MIA,LAX,2342,3,26,12,2007,345,366,21,0,13,19,0,0,21,0,0
OO,6022,ORD,DTW,235,3,23,4,2008,74,68,30,36,7,12,0,0,0,0,30
AA,311,SNA,SJC,342,3,30,1,2008,75,89,28,14,2,25,0,0,14,0,14
WN,1951,GEG,OAK,723,1,9,6,2008,130,118,34,46,4,6,2,0,0,0,32
AA,2489,DFW,LAX,1235,1,7,5,2007,200,180,49,69,9,9,49,0,0,0,0
XE,2263,BTV,EWR,266,7,10,8,2008,69,95,48,22,5,36,0,0,26,0,22
UA,531,BUF,ORD,473,6,16,8,2008,104,86,25,43,3,10,0,0,0,0,25
WN,3314,OAK,SLC,588,1,18,2,2008,100,86,50,64,3,5,5,0,0,0,45
DL,930,GSO,ATL,306,6,8,1,2005,93,118,41,16,7,49,0,0,41,0,0
XE,2957,EWR,BUF,282,7,2,1,2005,77,84,41,34,5,26,5,0,7,0,29
NW,1059,PHL,DTW,453,4,19,10,2006,107,140,29,-4,11,37,0,0,29,0,0
UA,155,ORD,SFO,1846,3,13,8,2008,270,271,110,109,5,17,11,0,1,0,98
DL,988,ALB,ATL,852,3,9,11,2005,154,151,19,22,7,17,0,0,19,0,0
AA,1228,MIA,ATL,595,7,13,6,2004,124,206,97,15,12,83,0,0,97,0,0
WN,2967,LAS,RNO,345,4,14,10,2004,75,66,41,50,3,9,9,0,0,0,32
CO,1780,SNA,IAH,1347,2,2,1,2007,196,222,22,-4,18,26,0,0,22,0,0
UA,1202,PDX,DEN,992,7,18,7,2004,145,151,24,18,5,7,0,0,6,0,18
YV,7256,IAD,EWR,213,5,24,3,2006,84,83,44,45,9,33,44,0,0,0,0
OH,5399,CVG,MSP,596,2,8,11,2005,115,121,20,14,5,13,0,14,6,0,0
OH,5711,BGM,CVG,506,4,1,7,2004,101,82,101,120,2,5,101,0,0,0,0
WN,525,PHX,LAS,256,5,15,10,2004,65,66,21,20,6,15,6,0,1,0,14
XE,209,TUS,AUS,797,4,15,5,2008,119,144,27,2,4,30,0,0,27,0,0
DH,6242,BOS,JFK,187,3,6,8,2003,71,76,100,95,7,24,95,0,5,0,0
OO,6715,SFO,BOI,522,6,12,7,2003,92,74,39,57,3,8,39,0,0,0,0
NW,783,MSP,LAS,1300,7,2,12,2007,201,255,51,-3,11,53,0,0,51,0,0
AA,2467,MCO,STL,880,7,29,7,2007,140,144,149,145,4,13,2,0,4,0,143
EV,4702,EVV,ATL,350,4,18,1,2007,78,80,63,61,7,7,0,61,2,0,0
MQ,4289,CVG,ORD,264,1,10,10,2005,75,70,42,47,10,20,0,0,0,0,42
US,1401,ALB,CLT,646,2,20,7,2004,122,141,18,-1,3,26,0,0,18,0,0
B6,105,JFK,TUS,2136,2,24,4,2007,165,175,17,7,4,45,0,0,10,7,0
XE,3286,PWM,CLE,609,4,30,6,2005,120,105,48,63,7,13,0,0,48,0,0
CO,1407,IAH,ONT,1334,4,24,6,2004,194,231,38,1,7,59,0,0,38,0,0
XE,3263,IND,EWR,644,2,8,3,2005,118,150,363,331,4,16,0,0,363,0,0
B6,529,EWR,MCO,938,1,19,11,2007,165,137,135,163,4,17,0,0,0,0,135
AS,235,SFO,PDX,550,1,20,6,2005,95,85,28,38,4,13,2,0,0,0,26
B6,60,TPA,JFK,1005,3,6,8,2008,167,180,32,19,9,24,0,0,32,0,0
AS,343,OAK,SEA,671,7,13,3,2005,121,118,34,37,5,8,34,0,0,0,0
OO,6688,COS,DEN,72,1,3,1,2005,43,40,84,87,8,15,0,0,84,0,0
F9,516,DEN,LGA,1619,5,25,4,2008,221,243,33,11,16,16,11,0,22,0,0
OO,6049,DEN,DRO,251,3,7,5,2008,64,72,24,16,6,23,0,0,8,0,16
OO,6912,ORD,SDF,286,5,30,12,2005,80,89,22,13,6,37,22,0,0,0,0
WN,3723,BNA,MCO,616,6,15,11,2008,105,108,15,12,9,8,0,0,3,0,12
DL,1898,SLC,BOS,2105,3,13,10,2004,257,292,33,-2,9,23,0,0,33,0,0
AS,11,EWR,SEA,2401,2,1,11,2005,370,395,21,-4,5,25,0,0,21,0,0
UA,527,BOS,ORD,867,7,6,1,2008,167,183,22,6,20,22,6,0,16,0,0
WN,123,ISP,PBI,1052,1,1,12,2008,175,202,135,108,4,8,95,0,27,0,13
OH,5171,CVG,EWR,569,7,21,5,2006,114,133,19,0,5,18,0,0,19,0,0
OO,5783,SFO,CEC,304,6,13,12,2008,94,107,15,2,4,19,2,0,13,0,0
CO,800,FLL,EWR,1065,1,9,6,2008,188,198,25,15,25,23,0,0,25,0,0
EV,4512,DFW,BTR,383,6,19,6,2004,83,95,92,80,5,25,0,80,12,0,0
WN,1704,MCO,SDF,718,3,17,8,2005,130,120,25,35,5,7,0,0,0,0,25
XE,3249,CLE,DTW,95,3,22,12,2004,49,67,36,18,10,17,0,0,18,0,18
DL,1873,MCI,ATL,692,2,29,7,2008,127,142,15,0,15,13,0,0,15,0,0
FL,564,ATL,BMI,533,6,16,2,2008,100,104,23,19,4,17,19,0,4,0,0
HP,32,PHX,LAX,370,6,19,3,2005,82,83,28,27,9,10,1,0,1,0,26
MQ,4271,ORD,FWA,157,2,8,2,2005,48,59,105,94,3,23,94,0,11,0,0
WN,379,TPA,AUS,928,4,13,3,2008,160,176,23,7,5,16,7,0,16,0,0
DH,7434,ORD,ORF,717,3,24,12,2003,135,125,41,51,4,25,41,0,0,0,0
XE,3262,IAH,GRK,166,7,30,1,2005,55,60,53,48,5,15,0,0,5,0,48
OH,5224,CLT,CVG,335,1,22,11,2004,92,115,23,0,1,30,0,0,23,0,0
UA,723,DEN,SJC,948,4,27,3,2008,154,157,32,29,5,11,8,0,3,0,21
DL,1030,ORD,CVG,264,2,25,5,2004,87,63,17,41,5,15,0,0,0,0,17
XE,3361,EWR,TYS,631,2,16,11,2004,126,136,18,8,4,34,8,0,10,0,0
MQ,4789,JFK,BOS,187,3,23,6,2004,65,66,17,16,8,21,16,0,1,0,0
OH,5030,CVG,OKC,756,1,1,8,2005,132,154,30,8,9,39,8,0,22,0,0
US,807,PHL,PHX,2075,3,25,1,2006,328,331,16,13,5,31,13,0,3,0,0
UA,769,ORD,SAT,1041,7,22,10,2006,168,190,20,-2,5,22,0,0,20,0,0
WN,364,DAL,MCI,461,5,4,4,2008,85,84,18,19,5,16,18,0,0,0,0
UA,415,IAH,DEN,861,7,28,11,2004,145,164,16,-3,8,17,0,0,16,0,0
NW,796,MEM,EWR,946,5,22,8,2003,163,206,41,-2,16,29,0,0,41,0,0
MQ,3430,ICT,DFW,328,3,25,5,2005,69,62,44,51,5,5,0,0,0,0,44
YV,2875,LAS,SAT,1069,7,4,3,2007,157,165,19,11,5,26,0,0,19,0,0
CO,271,MSP,EWR,1008,4,4,11,2004,155,179,40,16,10,52,0,0,40,0,0
US,1636,PHL,MCI,1038,2,22,6,2004,187,245,118,60,2,95,60,0,58,0,0
FL,957,BWI,FLL,925,1,11,6,2007,145,144,50,51,5,15,0,0,0,0,50
EV,4755,ATW,CVG,411,5,11,5,2007,92,80,23,35,8,9,23,0,0,0,0
OH,5655,SLC,STL,1156,4,27,5,2004,160,176,16,0,3,32,0,0,16,0,0
EV,4194,TPA,RDU,587,6,23,7,2005,105,103,19,21,4,17,0,19,0,0,0
OH,5667,RIC,CVG,413,3,7,5,2008,93,100,19,12,1,8,12,0,7,0,0
DL,1933,BOS,LGA,185,3,9,4,2008,72,96,21,-3,3,42,0,0,21,0,0
US,92,PHX,PDX,1009,4,1,2,2007,165,176,23,12,3,23,0,0,11,12,0
FL,507,ATL,MIA,595,1,6,2,2006,114,108,85,91,5,18,0,0,0,0,85
DL,1924,ATL,CLE,554,4,23,10,2003,99,122,36,13,8,17,13,0,23,0,0
AA,1888,DFW,TUS,813,3,9,7,2008,130,123,51,58,4,11,0,0,0,51,0
NW,655,EWR,DTW,487,1,26,11,2007,122,123,92,91,10,21,0,13,1,0,78
WN,794,STL,BHM,410,4,15,12,2005,75,71,16,20,3,10,8,0,0,0,8
WN,612,MDW,IND,162,5,30,3,2007,50,48,19,21,7,10,19,0,0,0,0
DH,7540,ORD,LAN,179,3,3,3,2004,57,99,67,25,3,64,0,0,42,0,25
OO,3796,SLC,MSO,436,5,21,9,2007,90,75,151,166,5,12,151,0,0,0,0
MQ,3953,MSN,ORD,109,2,4,4,2006,46,37,39,48,5,6,0,0,0,0,39
WN,2253,OKC,MCI,313,3,12,5,2004,60,63,21,18,4,8,0,0,21,0,0
WN,2010,TPA,PVD,1137,4,17,4,2008,170,157,29,42,3,7,0,0,0,0,29
US,1946,CLT,BOS,728,4,6,11,2008,122,143,16,-5,9,19,0,0,16,0,0
XE,2755,BTR,IAH,253,5,21,5,2004,65,71,63,57,15,9,0,0,33,0,30
YV,7328,BNA,ORD,409,6,3,2,2007,103,103,64,64,15,8,0,0,0,0,64
XE,3155,EWR,ALB,143,3,16,1,2008,63,95,27,-5,7,57,0,0,27,0,0
WN,3320,BWI,PVD,328,1,28,1,2008,70,75,43,38,4,13,3,0,5,0,35
NW,84,HNL,SFO,2398,7,26,6,2005,305,330,23,-2,6,27,0,0,23,0,0
OH,5418,JAX,LGA,834,4,10,5,2007,152,152,18,18,11,16,0,0,18,0,0
AA,820,MIA,RDU,700,5,30,5,2008,125,132,38,31,3,15,4,0,7,0,27
AS,575,SAN,SEA,1050,7,27,11,2005,176,201,40,15,6,23,15,0,25,0,0
US,1433,CLT,FLL,631,6,26,7,2003,113,144,27,-4,3,53,0,0,27,0,0
WN,2748,PHL,LAS,2176,4,31,5,2007,335,378,58,15,5,71,0,15,43,0,0
AA,1373,MCO,DFW,984,4,14,8,2008,165,165,31,31,16,9,3,0,0,0,28
WN,1627,SAN,OAK,446,4,19,8,2004,85,81,28,32,3,18,0,0,0,0,28
OH,5000,CVG,MLI,350,1,28,2,2005,79,100,41,20,5,45,20,0,21,0,0
OO,6681,XNA,DEN,616,5,21,11,2008,121,142,21,0,6,20,0,0,21,0,0
US,1832,CLT,BOS,728,2,19,6,2007,129,164,36,1,13,47,1,0,35,0,0
OH,5644,CVG,STL,307,4,5,2,2004,87,108,20,-1,7,37,0,0,20,0,0
EV,4516,ATL,ROA,357,2,19,4,2005,81,90,57,48,6,29,5,0,9,0,43
NW,761,DTW,MSP,528,5,24,10,2003,116,151,33,-2,7,30,0,0,33,0,0
XE,2396,EWR,DTW,487,6,21,7,2007,140,174,31,-3,8,89,0,0,31,0,0
9E,4743,MSP,ROC,783,7,24,6,2007,126,118,92,100,8,10,92,0,0,0,0
AS,389,SMF,PDX,479,4,18,10,2007,87,86,137,138,3,12,0,0,0,0,137
EV,4860,AGS,ATL,143,1,30,10,2006,60,85,35,10,25,28,10,0,25,0,0
NW,1140,IND,DTW,231,1,15,1,2007,71,67,20,24,18,9,0,0,0,0,20
9E,2821,MSP,GRB,252,2,12,2,2008,75,64,15,26,4,14,0,0,0,0,15
WN,354,ELP,PHX,347,4,12,8,2004,70,92,22,0,11,20,0,0,22,0,0
YV,2650,CLE,CLT,430,7,3,6,2007,89,85,61,65,5,13,0,0,0,0,61
XE,2203,TUL,IAH,429,3,14,1,2004,92,117,25,0,16,25,0,0,25,0,0
WN,2725,BWI,FLL,925,6,27,9,2008,150,151,25,24,4,8,0,0,7,0,18
MQ,4006,ORD,GRR,137,7,26,12,2004,45,45,37,37,4,15,25,0,0,0,12
OO,6593,DEN,BIL,455,5,26,12,2008,99,150,60,9,4,37,0,0,51,0,9
MQ,4349,ORD,MSN,109,3,10,3,2004,49,75,57,31,2,42,31,0,26,0,0
NW,1131,BWI,DTW,408,3,24,1,2007,105,104,53,54,7,15,0,0,0,0,53
OO,6120,LAX,PSP,110,4,29,1,2004,43,46,19,16,2,12,0,19,0,0,0
EV,4884,CAE,ATL,191,7,17,8,2008,62,70,27,19,15,9,0,0,8,0,19
WN,506,PHX,SAN,304,1,7,4,2008,65,62,15,18,2,6,0,0,0,0,15
WN,2169,OAK,ONT,361,3,6,10,2004,75,64,31,42,3,6,22,0,0,0,9
AA,1201,BOS,DFW,1562,4,20,10,2005,257,259,55,53,4,21,53,0,2,0,0
OH,5378,JFK,DTW,508,1,11,9,2006,151,142,60,69,10,45,60,0,0,0,0
AA,1555,JFK,MIA,1090,6,7,6,2008,190,186,34,38,10,35,23,0,0,0,11
XE,2124,ORD,CLE,316,3,4,4,2007,75,87,38,26,7,23,7,0,12,0,19
F9,582,SLC,DEN,391,6,1,3,2008,81,100,66,47,7,37,28,0,26,0,12
US,576,CLT,SYR,603,5,1,7,2005,108,112,73,69,4,25,0,0,4,0,69
WN,2033,BHM,MSY,321,1,4,10,2004,65,63,101,103,2,9,0,0,0,0,101
CO,1502,EWR,LAX,2454,4,25,9,2008,374,346,41,69,12,29,9,0,0,0,32
EV,4718,MDW,ATL,590,5,27,7,2007,116,112,16,20,9,15,16,0,0,0,0
UA,654,ORD,EWR,719,3,16,3,2005,133,120,50,63,8,22,6,0,0,0,44
UA,1443,DEN,ONT,819,2,15,2,2005,131,144,15,2,2,14,0,0,15,0,0
AS,66,YAK,JNU,199,2,3,7,2007,47,54,28,21,4,15,21,0,7,0,0
F9,510,DEN,LGA,1619,3,25,7,2007,220,233,40,27,9,14,27,0,13,0,0
AA,371,LGA,ORD,733,3,15,10,2008,155,182,22,-5,4,54,0,0,22,0,0
CO,1150,ATL,EWR,745,5,20,5,2005,134,140,130,124,7,34,0,0,25,0,105
AA,1592,MIA,RDU,700,7,23,10,2005,119,102,26,43,4,10,26,0,0,0,0
UA,863,ORD,SFO,1846,1,10,7,2006,270,266,80,84,6,19,0,0,1,0,79
XE,2611,CVG,IAH,871,1,17,3,2008,158,178,21,1,13,16,0,0,21,0,0
WN,281,BWI,JAX,663,4,18,9,2008,110,109,18,19,6,10,18,0,0,0,0
XE,406,OKC,SAN,1136,3,4,6,2008,171,188,21,4,5,11,0,0,21,0,0
UA,1218,DEN,IAD,1452,2,13,11,2007,186,183,32,35,6,11,0,0,10,0,22
UA,427,BOS,IAD,413,5,22,2,2008,98,116,15,-3,6,30,0,0,15,0,0
US,18,LAX,PHL,2401,4,27,1,2005,300,315,15,0,24,15,0,0,15,0,0
AA,774,IND,ORD,177,4,14,7,2005,59,54,40,45,5,9,40,0,0,0,0
NW,1479,DTW,MSY,926,4,30,8,2007,156,182,36,10,5,25,10,0,26,0,0
OO,6182,SFO,ACV,250,4,12,4,2007,75,92,35,18,5,19,0,0,0,0,35
MQ,3759,DFW,LIT,304,5,18,7,2008,70,68,72,74,4,20,63,0,0,0,9
WN,472,MDW,BDL,777,1,17,5,2004,120,110,100,110,5,10,0,0,0,0,100
US,410,PHL,MHT,290,6,2,8,2003,75,64,73,84,5,11,22,0,0,0,51
DL,649,ATL,SFO,2139,1,24,9,2007,303,296,74,81,11,21,0,0,0,0,74
UA,907,ORD,SFO,1846,5,11,7,2008,270,276,17,11,4,31,11,0,6,0,0
NW,1533,MSP,MCI,393,5,20,7,2007,82,86,25,21,6,21,21,0,4,0,0
NW,669,LGA,IND,659,2,13,11,2007,143,146,26,23,14,33,10,0,3,0,13
WN,2182,DAL,MAF,319,5,13,6,2003,60,60,60,60,3,8,0,0,0,0,60
CO,869,IAH,MSY,305,1,5,5,2008,73,72,57,58,3,25,25,0,0,0,32
YV,2745,PHX,PSP,261,2,20,5,2008,90,93,33,30,3,25,33,0,0,0,0
AA,311,ORD,SEA,1721,5,8,10,2004,266,294,27,-1,45,18,0,0,27,0,0
MQ,3513,DFW,CID,685,7,30,11,2008,120,136,35,19,5,25,0,0,16,0,19
NW,332,DTW,BOS,632,4,14,10,2004,108,136,35,7,6,15,7,0,28,0,0
